;name;country_code;country;hobbies;education;hero;influence;philosophy;slug_game;game_year
0;ALEKSANYAN Artur;ARM;Armenia;Playing and watching football;Graduated from Shirak State University (Gyumri, ARM);Footballer Zinedine Zidane (FRA), World Cup winner (1998) and European champion (2000) with France, won the Champions League as a player and three times as a manager with Real Madrid, three-time FIFA World Player of the Year;His father, Gevorg Aleksanyan;"""Wrestling is my life."" (mediamax.am. 18 May 2016)";paris-2024;2024
14;DIOSDADO Nuria;MEX;Mexico;Spending time with friends, playing the piano, going to the cinema;Studied Business Administration at Anahuac University (MEX) and later completed two Master's Degrees in Marketing and Public Image at the College of Public Image (Mexico City, MEX);Spanish artistic swimmer Gemma Mengual, 2008 Olympic silver medallist in duet and team;Her parents;"""Let everything you do be guided by your passion and conviction to reach a goal, no matter how difficult it may seem."" (myInfo)";paris-2024;2024
34;LOPEZ Jesus Tonatiu;MEX;Mexico;Reading, listening to music, puzzles;Sport Studies at University of Sonora (Hermosillo, MEX);His parents;His family;"""Quit now and every battle will have been in vain."" (myInfo)";paris-2024;2024
58;MORENO Alexa;MEX;Mexico;Anime, karaoke;Architecture at University of the Valley of Mexico (MEX);"Artistic gymnast Oksana Chusovitina (UZB), eight-time Olympian winning 1992 individual all-around gold (for EUN) and 2008 vault Olympic silver (GER); 11-time world championship medallist (three gold, four silver, four bronze).</p><p>Artistic gymnast Alicia Sacramone (USA), 2008 Olympic team all-around silver medallist; eight-time world championship medallist (four gold, four silver, two bronze).</p><p>Artistic gymnast Kohei Uchimura (JPN), seven-time Olympic medallist (three gold, four silver) winning back-to-back individual all-around gold (2012, 2016), 20-time world championship medallist with 10 gold (six individual all-around titles)";Her parents;"""Keep going and if you fall, learn why you fell and get back up."" (kyma.com, 9 May 2024)</p><p>""When you get out of your comfort zone you confirm you are capable of achieving more than you believed."" (www.instyle.mx, 22 May 2017)";paris-2024;2024
83;RODRIGUEZ Gabriela;MEX;Mexico;Working out, hiking;Studied Clinical Psychology at the Monterrey Institute of Technology and Higher Education (Monterrey, MEX). Now studying for a Master's in Psychotherapy;Shooter Ennio Falco (ITA), 1996 Olympic skeet champion, five-time Olympian (1996, 2000, 2004, 2008, 2012), eight-time world championship medallist (five silver, three bronze);"Her coach, Pietro Genga (ITA). ""He has taught me so much, and changed my whole approach to the sport. He made me believe in myself."" (Athlete, 1 Jul 2024)";"""Small actions, big results. Everything is on the day to day small habits that you stick to."" (Athlete, 1 Jul 2024)";paris-2024;2024
115;WONG Guanjie Johnathan;MAS;Malaysia;Outdoor activities, PC gaming, hunting for food;Graduated in 2019 with a Bachelor's degree in Engineering (Aerospace) from the University of Putra Malaysia (MAS);Squash player Nicol Ann David (MAS), 11-time world championship singles medallist (eight gold, three silver), four-time Commonwealth Games medallist (two gold, one silver, one bronze), nine-time Asian Games medallist (seven gold, one silver, one bronze);"His grandfather. ""He inspired me to excel in sports and represent the country at Olympic and continental Games."" (Athlete, 11 May 2024)";"""No matter what you do, give your very best."" (Athlete, 11 May 2024)";paris-2024;2024
241;GIL Federico;ARG;Argentina;Fishing, travel, hunting;Graduated in 2016 with a Master's degree in Criminal Law from the University of Buenos Aires (ARG).</p><p>Studied Law at the Argentine University John F. Kennedy, Buenos Aires (ARG);His father, shooter Horacio Gil (ARG), six-time world championship (1994, 1997, 1998, 2002, 2010, 2011) and three-time Pan American Games team member (1995, 1999, 2003);His father;"""Hard work always pays off."" (Athlete, 19 Jul 2021)";paris-2024;2024
253;BATRA Manika;IND;India;Dancing, photography, watching movies, cricket, tennis;Graduated with a degree in Humanities from the University of Delhi (IND);Footballer Cristiano Ronaldo (POR), won five Champions Leagues, seven league titles and five Ballon d’Or awards during his time at Manchester United, Real Madrid and Juventus. Won Euro 2016 with Portugal and is international football’s all-time top scorer and appearance maker;Her mother, and coach Sandeep Gupta;"""Always in my mind, India is first and I come second. Whenever I go to tournaments, I remind myself that I haven't come here for myself but rather to win something for India."" (myInfo)";paris-2024;2024
255;ZMUSHKA Alina;AIN;AIN;Reading books, cycling;Studies Sports Psychology at Belarusian State University of Physical Education (Minsk, BLR);Swimmer Yulia Efimova (RUS), three-time Olympic medallist (two silver, one bronze), 17-time world championship medallist (six gold, seven silver, four bronze);Her parents, and coach Ihar Makeev;"""Don't stop at what has been achieved already."" (isl.global)";paris-2024;2024
265;VALARIVAN Elavenil;IND;India;Travelling, reading, playing badminton, driving, photography;English Literature - Bhavan's Sheth R.A. College of Arts and Commerce, Ahmedabad, IND;Shooter Gagan Narang (IND), 2012 Olympic air rifle bronze medallist, four-time Olympian (2004, 2008, 2012, 2016), 2010 World Championships bronze medallist;"Indian shooter Gagan Narang. ""Training under Gagan Sir has been transformative. His experience and insights are invaluable, and his mentorship has significantly enhanced my skills and confidence. He has guided me through every step of my journey."" (thehindu.com, 4 Jul 2024)";"""10m air rifle needs a lot of precision. We can't just shoot a 10.2 instead of a 10.9. I think in shooting, precision is way higher than any other sport. A shot may work or may not work. Precision and patience are the best key elements in this event, and these aspects excite me the most."" (womensoutdoornews.com, 30 Oct 2020)";paris-2024;2024
336;PUSARLA V. Sindhu;IND;India;Meditation;Commerce at St Ann's College for Women (Hyderabad, IND);"Boxer Mary Kom (IND), 2012 Olympic flyweight bronze medallist; 2018 Commonwealth Games gold; two-time Asian Games medallist (2014 gold, 2010 bronze)";Her parents;"""The greatest asset is a strong mind. If I know that someone is training harder than I am, I have no excuses."" (myInfo)";paris-2024;2024
389;Mc CLENAGHAN Rhys;IRL;Ireland;Vlogging, golf, spending time with family;Sport Studies at Bangor SERC, Northern Ireland;Artistic gymnast Max Whitlock (GBR), six-time Olympic medalist (three gold, three bronze), eight-time world championship medalist (three gold, five silver).</p><p>Artistic gymnast Louis Smith (GBR), four-time Olympic medalist (two silver, two bronze) and five-time world championship medalist (three silver, two bronze);Coach Luke Carson;"""I don't let outside pressures get to me. I know that when I put up my hand for my routine, I'm in the zone. I'm doing my routine, I'm doing my job, and I don't let anything else disturb that. It's back to my own mindset."" (myInfo)";paris-2024;2024
450;ELHAGE Phili;ARU;Aruba;Running, social baseball and softball, flag football;Studied Information, Communication and Technology at university in Curacao;"Sprinter Churandy Martina (NED), four-time Olympian (2004, 2008, 2012, 2016), three-time European champion, 2007 Pan American Games 100m champion. </p><p>""He is always positive in all situations and prepared for the next challenge. A very humble person who helps his community and fellow athletes."" (Athlete, 18 Jun 2024)";"His late father, and his mother. ""He taught me the value of hard work, and my mother always told me to dream as big as I want."" (Athlete, 18 Jun 2024)";"""Enjoy the process. When it's all said and done, that is the part we will remember."" (Athlete, 18 Jun 2024)";paris-2024;2024
456;ZUMAYA FLORES Goretti Alejandra;MEX;Mexico;Cycling, hiking, walking her dogs, watching TV;Received a Bachelor's degree in Physiotherapy in 2022;"Swimmer Michael Phelps (USA), 28-time Olympic medallist (23 gold, three silver, two bronze); 33-time world championship medallist (26 gold, six silver, one bronze)";"Her father, David. ""(He) sometimes gives me good advice and sometimes bad advice, but he is my guide."" (Athlete, 28 Jun 2024)";"""You can't perform miracles. Focus on what you know."" (Athlete, 28 Jun 2024)";paris-2024;2024
522;CRET Alex;ROU;Romania;Fishing;Studies at the University of Oradea (Oradea, ROU);"Swimmer Michael Phelps (USA), 28-time Olympic medallist (23 gold, three silver, two bronze); 33-time world championship medallist (26 gold, six silver, one bronze)";His family;"""Just believe in yourself."" (Athlete, 12 May 2024)";paris-2024;2024
524;AL RAIMI Yasameen;YEM;Yemen;Travelling;Studied Diplomatic Law at the Arab University for Technical Sciences (YEM);"""Myself. I consider myself to be a very special and wonderful person."" (Athlete, 1 Jul 2024)";"Her mother. ""My mum's prayers helped me get to the Olympic Games."" (Athlete, 1 Jul 2024)";"""Work hard and persevere and you will reach the highest ranks."" (Athlete, 1 Jul 2024)";paris-2024;2024
538;USTOPIRIYON Komronshokh;TJK;Tajikistan;Driving;Physical Education at Khujand State University (TJK);"""My father and brother are my heroes."" (Athlete, 14 May 2024)";His father Usto Ustopirov and his brother Faridun;"""I must win."" (Athlete, 14 May 2024)";paris-2024;2024
541;ESCALERA Natalia;MEX;Mexico;Discovering new coffee shops;Studying Sports Science at Autonomous University of Nuevo Leon (MEX);Artistic gymnast Aliya Mustafina (RUS), seven-time Olympic medallist (two gold, two silver, three bronze), 2010 world all-around champion, 12-time world medallist (three gold, four silver, five bronze);Her coach Pavel Oceguera, her parents and her partner;"""More than a saying, I always try to speak to myself in a positive way and tell myself the things I want to happen, in the present and past, as if I had already accomplished them, to manifest and decree.” (intlgymnast.com, 4 Apr 2024)";paris-2024;2024
547;CUMBO Hugo;VAN;Vanuatu;Mountain walks and trails. Sea outings (underwater fishing);Graduated in 2019 with a Master's degree in Industrial and Mechanical Engineering from Ecole Nationale Superieure des Arts et Metiers (ENSAM);Judoka Joe Mahit (VAN), 2016 Olympian (-66kg), four-time Oceania Championships team member (2014, 2015, 2016, 2017).</p><p>Judoka Nazario Fiakaifonu (VAN), 2012 Olympian (100+kg), and competed at the 2011 World Championships and 2011 Judo Oceania World Cup.</p><p>Para athlete Elie Enock (VAN), competed in shot put (F56/57) at the 2019 World Para Athletics Championships (sixth) and in para powerlifting (heavyweight) at the 2022 Commonwealth Games (eighth);"Several people have shaped his career. His father for introducing him to judo, judoka Florence Daoleuang who took him to a high level and introduced him to competition and Eric Reuillard ""who taught me the basics of physical preparation during my studies."" (Athlete, 12 Jun 2024)";"""The end justifies the means. When I have a goal, it doesn't matter what the means, the pain, the suffering, the sacrifices are... as long as I achieve my goal. Once I've achieved my goal all the negativity is forgotten.""</p><p>""Come on, one more. When I'm in a difficult moment, physically or mentally, I say to myself 'one more'. One more fight, one more minute, one more rehearsal.. until I finish."" (Athlete, 12 Jun 2024)";paris-2024;2024
635;HERRERA Fatima;MEX;Mexico;Listening to music, reading, meditating, running, exercise, studying;Studies Educational Inclusivity at San Luis Potosi State Normal University (San Luis Potosi, MEX);Boxer Vasiliy Lomachenko (UKR), two-time Olympic champion (2008 featherweight, 2012 lightweight), two-time world amateur champion, European amateur champion and junior world champion. One of the most successful amateur boxers of all time with a record of 396 wins and just one defeat, he has a 18-3 record in the professional ranks. (as of 24 May 2024);"Describes her husband as her ""pillar"", since he has always been there for her";"""God's timing is perfect."" (Athlete, 15 Jul 2024)";paris-2024;2024
636;POPOVICI David;ROU;Romania;Travelling, cycling, watching movies, reading;Studying psychology at University of Bucharest (ROU);"Swimmer Michael Phelps (USA), 28-time Olympic medallist (23 gold, three silver, two bronze); 33-time world championship medallist (26 gold, six silver, one bronze).</p><p>Swimmer Ian Thorpe (AUS), nine-time Olympic medallist (five gold, three silver, one bronze). 13-time world championship medallist (11 gold, one silver, one bronze). First person to win six golds at a single world championships (2001). Set 13 individual world records";His parents and coach Adrian Radulescu;"""You have power over your mind, not outside events. Realise this, and you will find strength."" (Instagram 21 Jun 2021)";paris-2024;2024
699;JEGOU Liam;IRL;Ireland;Hiking;Graduated with a degree in Applied Foreign Languages;"Canoe slalom paddler Tony Estanguet (FRA), three-time Olympic C1 champion (2000, 2004, 2012); five-time world champion. President of the Paris 2024 Olympic Games Organising Committee (2018-2024)";His father;"""It's just about directing my focus on what I can control and on what I can do on the water. Then you block the rest out. All I can do is go to the gym, go paddling, and do my best every day."" (myInfo)</p><p>""Improvise, adapt and overcome."" (canoeicf.com)";paris-2024;2024
702;BARR Thomas;IRL;Ireland;Working on cars;Mechanical Engineering - University of Limerick, Ireland and then completed a Master's in Sports Performance in 2016;High jumper Stefan Holm (SWE), 2004 Olympic champion, 2003 World Championships silver medallist. </p><p>Rugby union player Paul O'Connell (IRL) and his sister Jessie Barr;Coach Hayley Harrison, and his parents;"""I know when I'm in that relaxed head space, that's when I know I can perform at my best."" (myInfo)";paris-2024;2024
